,text,favorite_count,id,retweet_count,created_at,brand,total_activity,compressed_dates2,compressed_dates5
0,"@ChezahDE @FF_XIV_DE @SquareEnixDE @SquareEnix That scythe!!!??!! 😱
👏👏👏 Chezah, amazing!",138,1419576144551161861,0,07/26,FF14,138,07/26,07/25
0,Name five trials that made you the Warrior of Light you are today 🌱🌻👑,3470,1419311729738010628,218,07/25,FF14,3688,07/24,07/25
0,"where we are                        where we are
physically                              mentally https://t.co/ycW7ghsSma",3766,1418586848482451457,724,07/23,FF14,4490,07/24,07/25
0,Where in the world is your WoL? 🗺️ https://t.co/ZcSRGHoMMF,5644,1418586724758872069,882,07/23,FF14,6526,07/24,07/25
0,@finnthejackal Very nice Viera you have there! 👀,3,1418578618381488132,0,07/23,FF14,3,07/24,07/25
0,Don’t forget to share your male Viera or benchmark score with us before July 26 for a chance to earn some neat priz… https://t.co/7BpMecj4zF,796,1418224405675593735,96,07/22,FF14,892,07/22,07/20
0,@RubberNinja 🥚👀,1007,1418204416700686340,36,07/22,FF14,1043,07/22,07/20
0,"We would like to share another brief message from Producer &amp; Director Naoki Yoshida, including information on incre… https://t.co/0Ok1dUWrpD",4534,1418137261565218817,1074,07/22,FF14,5608,07/22,07/20
0,"Celebrating the Oracle of Light! ✨

The brand-new Oracle’s attire is now available on the #FFXIV Online Store! 🛍️… https://t.co/WqOacOrpB1",2645,1417862053989998594,468,07/21,FF14,3113,07/20,07/20
0,We would like to share a brief message from Producer &amp; Director Naoki Yoshida about the recent congestion of World… https://t.co/HxinNPZhGT,11470,1417507372638130178,3169,07/20,FF14,14639,07/20,07/20
0,"Season 2️⃣0️⃣ of the Feast has begun! ⚔️

Hit the den and start climbing the ranks for a chance at some fearsome re… https://t.co/JITQqsQc1B",478,1417499798752559105,63,07/20,FF14,541,07/20,07/20
0,@panquecart He cute 🥺,18,1417458249469730839,0,07/20,FF14,18,07/20,07/20
0,"#FFXIV Patch 5.58 is here! 🌟

Here's what's new:
⚔️ Adjustments to the Bozjan southern front
⚔️ Adjustments to the… https://t.co/ma22WTV0z6",2681,1417418639087529993,539,07/20,FF14,3220,07/20,07/20
0,"The Make It Rain Campaign is live! 💰 https://t.co/4hBEeTi6w6

Jinkies, something's afoot at the Gold Saucer! 😲

Hea… https://t.co/M3uho1ZCUR",3650,1417137412883369991,783,07/19,FF14,4433,07/20,07/20
0,"👋❤️
🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱🌱",22957,1417079908581486596,4314,07/19,FF14,27271,07/20,07/20
0,@RubberNinja Here we go again,2199,1417052872781484038,71,07/19,FF14,2270,07/20,07/20
0,"Did you know? If you collect all Triple Triad cards from no. 1 through 312, you'll be able to get this cool, one-of… https://t.co/qdxaYkKtoQ",4655,1416774815860592642,615,07/18,FF14,5270,07/18,07/20
0,"Did you know? If you collect all Triple Triad cards from no. 1 through 312, you'll be able to get this cool, one-of… https://t.co/qdxaYkKtoQ",4655,1416774815860592642,615,07/18,FF14,5270,07/18,07/20
0,@miyabau Wonderful artwork! 😍 Angelo's face is priceless!,51,1416152372238118912,0,07/16,FF14,51,07/16,07/15
0,RT @miyabau: [art/ffxiv] my girl alisaie with her porxie #ffxivart https://t.co/UF7fMPNSQa,0,1416152310888247297,669,07/16,FF14,669,07/16,07/15
0,The EU Support Centre is currently experiencing a high contact volume and may take longer than usual to respond to… https://t.co/wcELkO0ZIn,685,1416130586024976384,87,07/16,FF14,772,07/16,07/15
0,"New #FFXIV Developers’ Blog:
📜 Cloudy with a Chance of MGP
🌐 https://t.co/mOu2NK5vwA

Get a quick peek at what’s in… https://t.co/8pEb5a0j0q",946,1416095324582514690,173,07/16,FF14,1119,07/16,07/15
0,@chewlon 😉,3,1415996782635532291,0,07/16,FF14,3,07/16,07/15
0,@SQEX_MD_NA Wild and pure and forever free!,87,1415747929856487427,5,07/15,FF14,92,07/16,07/15
0,"The #FFXIV Endwalker Benchmark Screenshot Campaign is ongoing! 📸

Snap a screenshot of your male Viera or share you… https://t.co/hmeS5kwd6W",1095,1415687756546674692,161,07/15,FF14,1256,07/16,07/15
0,@YunalesckaGames 🥰,81,1415659153566089217,2,07/15,FF14,83,07/16,07/15
0,@luulubuu ok you are forgiven...... thank you!! 😼,131,1415387802259410948,0,07/14,FF14,131,07/14,07/15
0,"@luulubuu Nice! It's spelled ""Y'shtola"" btw 🙂",323,1415383227116802054,10,07/14,FF14,333,07/14,07/15
0,RT @FF_XIV_EN: looking respectfully at male viera https://t.co/dNY1qOQh5B,0,1415341204284321794,5484,07/14,FF14,5484,07/14,07/15
0,looking respectfully at male viera https://t.co/dNY1qOQh5B,20920,1415267444155981825,5484,07/14,FF14,26404,07/14,07/15
0,"@Yohplay Hi Yoh, have you looked here?
https://t.co/pSVxo0gHnt 
You can right click &gt; open in new tab to display th… https://t.co/IkO7Nvcc99",4,1415232307502501888,0,07/14,FF14,4,07/14,07/15
0,This new illustration of Radz-at-Han... 😍😍 https://t.co/n8FUCeKDhv,12254,1414963101535977478,3688,07/13,FF14,15942,07/12,07/15
0,@Julia_CaSsian a bold move...,70,1414929930316550145,1,07/13,FF14,71,07/12,07/15
0,"Fangs bared and claws sharpened…

Season 2️⃣0️⃣ of the Feast will commence on July 20! ⚔️ https://t.co/n3mD4dajMT https://t.co/EXOkuoFRXA",487,1414902678044307459,71,07/13,FF14,558,07/12,07/15
0,@DeputyARUUU ah yes this is the full title of our game indeed,181,1414876570095955976,7,07/13,FF14,188,07/12,07/15
0,"The Make It Rain Campaign returns Monday, July 19! ➡️ https://t.co/4hBEeTi6w6

You know the drill:
⭐ Earn 5️⃣0️⃣% m… https://t.co/Ph7FqBMApS",2750,1414600687489486855,872,07/12,FF14,3622,07/12,07/10
0,@Shlebsie They're the same picture.,107,1414578410861514758,10,07/12,FF14,117,07/12,07/10
0,@Shlebsie They're the same picture.,107,1414578410861514758,10,07/12,FF14,117,07/12,07/10
0,@SorsTyche literally deleting everyone's character so you all dodged a bullet there 👀💦,934,1414542796338442241,98,07/12,FF14,1032,07/12,07/10
0,"We did it... no, YOU did it!

With your help, the 3 Community teams managed to learn all 104 blue magic spells!

✨… https://t.co/naNiIrarbR",6254,1414540294108766214,1294,07/12,FF14,7548,07/12,07/10
0,"Or if you’re planning to share your benchmark score, we got you covered too! 👇

Home World Name: Ragnarok 
Characte… https://t.co/fBYcoOCwMw",255,1414239466546290693,22,07/11,FF14,277,07/12,07/10
0,"Planning to submit a male Viera screenshot? Here’s a template! 👇

Home World Name: Behemoth
Character Name: Sqex Vo… https://t.co/zVETyb0qcL",317,1414239465636200454,38,07/11,FF14,355,07/12,07/10
0,"Announcing the #Endwalker Benchmark Screenshot Campaign! ✨

Take a screenshot of your newly created male Viera OR s… https://t.co/PrEVd2k0km",3196,1414239464214257668,766,07/11,FF14,3962,07/12,07/10
0,"The #FFXIV Endwalker promotional site is now LIVE! 🎉 https://t.co/NPzlLvPvQH

Learn all about the upcoming expansio… https://t.co/QYmx7ufcc5",1451,1414177659811098630,385,07/11,FF14,1836,07/12,07/10
0,"The Endwalker official benchmark is now available! 🤩 https://t.co/4nFQq3vVzR

Use the software to gauge your comput… https://t.co/ESLZLkIbM6",3473,1414177658858967049,941,07/11,FF14,4414,07/12,07/10
0,"We're not even halfway through the 14-Hour Broadcast, but it's getting a bit late on our end. 

Review the schedule… https://t.co/4aZkE6IkJE",511,1413739766563196934,32,07/10,FF14,543,07/10,07/10
0,"How Do You Like Hydaelyn? returns next!

The global Community team's challenge of learning all blue magic spells co… https://t.co/zA27Atc4ux",291,1413723525446135808,23,07/10,FF14,314,07/10,07/10
0,"Welcome our guests, Yosuke Saito and YOKO TARO, for a special talk session where we look back at YoRHa: Dark Apocal… https://t.co/dW9KftgQJq",1121,1413703406657572870,139,07/10,FF14,1260,07/10,07/10
0,"Join Yoshi-P as he tries his hand at making a male Viera in the Endwalker benchmark's character creator! 🐰✨

Watch… https://t.co/nbsF6phNZw",1273,1413701842911907840,323,07/10,FF14,1596,07/10,07/10
0,"Time to review the upcoming schedule for seasonal events and other announcements!

Watch 📺 https://t.co/9CZAvy3ZRC https://t.co/2g4RKWyQiB",595,1413699611760283649,120,07/10,FF14,715,07/10,07/10
0,"We're saying goodbye to belts in #Endwalker 👋
But what happens to your existing belts?

Watch 📺… https://t.co/reumgiWddx",3379,1413698554980302848,443,07/10,FF14,3822,07/10,07/10
0,"Let's review the plans for downscaling values in damage calculations 📉 

Watch 📺 https://t.co/9CZAvy3ZRC https://t.co/QHbTE0wqmA",1277,1413696960175902727,163,07/10,FF14,1440,07/10,07/10
0,"We're kicking things off with a review of the information that's been revealed so far about #FFXIV Endwalker!

Watc… https://t.co/NvsQwFy3VS",775,1413691432586551300,186,07/10,FF14,961,07/10,07/10
0,"Presenting the #FFXIV Endwalker Benchmark trailer!

The benchmark software is scheduled to release Sunday, July 11.… https://t.co/nQ1hjNT74o",7680,1413690831349829633,3922,07/10,FF14,11602,07/10,07/10
0,"The Letter from the Producer LIVE is starting soon!

Join us we review Endwalker information, followed by a special… https://t.co/0BJP2w4ad1",571,1413685513404358656,171,07/10,FF14,742,07/10,07/10
0,The Japanese Community team continues our global challenge to learn all blue magic spells throughout the stream! 📘… https://t.co/p2h0fwcbj7,203,1413676227785752579,43,07/10,FF14,246,07/10,07/10
0,"The 14-Hour Broadcast is live!

There's a lot planned for this lengthy stream, so feel free to casually watch along… https://t.co/RIZ4Ys4oqP",418,1413664582925647874,129,07/10,FF14,547,07/10,07/10
